"Google Germany, Sprache der Benutzeroberfläche: Deutsch"
Keyword,URL,"Content Score",Suchvolumen,"Website SERP Features","Gefundene SERP Features",Klicks,2026-02-21,Dynamiken,URL,2026-02-22,Dynamiken,URL
"Unterkunft nähe Allianz Arena,München Attraktionen,Mittel,2",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Übernachtung Allianz Arena Umgebung,München Attraktionen,Niedrig,2",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Pension nähe München Flughafen,München Attraktionen,Mittel,2",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Unterkunft S8 München,München Attraktionen,Niedrig,3",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung nähe Andechs,Ausflugsziele,Niedrig,2",,-,0,,"Bewertungen, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Unterkunft Kloster Andechs,Ausflugsziele,Niedrig,2",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, AI Overview","Keine Daten in GSC",-,0,,-,0,
"Übernachtung Ammersee Radtour,Aktivitäten,Niedrig,2",,-,0,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask)","Keine Daten in GSC",-,0,,-,0,
"Ferienwohnung Ammersee Baden,Aktivitäten,Mittel,2",,49,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), AI Overview","Keine Daten in GSC",27,0,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee,25,2,https://www.sonnenhof-herrsching.de/blog/unterkunft-herrsching-ammersee
"Urlaub Ammersee günstig,Preis,Mittel,2",,58,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Bilder","Keine Daten in GSC",48,0,https://www.sonnenhof-herrsching.de/,39,9,https://www.sonnenhof-herrsching.de/
"Günstige Pension Ammersee,Preis,Mittel,2",,-,0,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für","Keine Daten in GSC",-,0,,-,0,
"Sonnenhof Herrsching,Brand,Niedrig,1",,-,0,"Bewertungen, Bilder, GBP","Bewertungen, Video, Bilder, GBP",0,1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"Sonnenhof Ammersee,Brand,Niedrig,1",,-,0,"Bewertungen, GBP","Bewertungen, GBP","Keine Daten in GSC",2,0,https://www.sonnenhof-herrsching.de/,1,1,https://www.sonnenhof-herrsching.de/
"ferienwohnung herrsching",,-,390,,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für",1,7,0,https://www.sonnenhof-herrsching.de/,8,-1,https://www.sonnenhof-herrsching.de/
"ferienwohnung sonnenhof herrsching",,-,10,"Bewertungen, Sitelinks, Bilder, GBP, AI Overview","Bewertungen, Sitelinks, Bilder, GBP, AI Overview",10,1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung herrsching am ammersee",,78,320,,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für",0,4,0,https://www.sonnenhof-herrsching.de/,4,0,https://www.sonnenhof-herrsching.de/
"ferienwohnungen herrsching",,87,390,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",0,4,0,https://www.sonnenhof-herrsching.de/,5,-1,https://www.sonnenhof-herrsching.de/
"fewo ammersee herrsching",,-,50,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",0,6,0,https://www.sonnenhof-herrsching.de/,5,1,https://www.sonnenhof-herrsching.de/
"herrsching am ammersee ferienwohnung",,78,320,,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für",1,4,0,https://www.sonnenhof-herrsching.de/,5,-1,https://www.sonnenhof-herrsching.de/
"ferienwohnungen herrsching am ammersee",,78,320,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",1,4,0,https://www.sonnenhof-herrsching.de/,5,-1,https://www.sonnenhof-herrsching.de/
"herrsching ferienwohnung",,78,390,,"Bewertungen, Bilder, Hotel-Paket, Ergebnisse finden für",0,6,0,https://www.sonnenhof-herrsching.de/,7,-1,https://www.sonnenhof-herrsching.de/
"sonnenhof herrsching",,72,110,"Bewertungen, Sitelinks, Bilder, GBP","Bewertungen, Sitelinks, Ähnliche Fragen (People Also Ask), Bilder, GBP",8,1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"sonnenhof herrsching am ammersee",,76,10,"Bewertungen, Sitelinks, Bilder, GBP","Bewertungen, Sitelinks, Ähnliche Fragen (People Also Ask), Bilder, GBP",7,1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ammersee ferienwohnung mit frühstück",,72,30,"Lokales Paket","Lokales Paket, Bewertungen, Bottom-Anzeigen, Ergebnisse finden für",0,5,0,https://www.sonnenhof-herrsching.de/,4,1,https://www.sonnenhof-herrsching.de/
"ammersee hotel sonnenhof",,-,20,"Bewertungen, Bilder, GBP","Bewertungen, Ähnliche Fragen (People Also Ask), Bilder, GBP",0,1,0,https://www.sonnenhof-herrsching.de/,1,0,https://www.sonnenhof-herrsching.de/
"ammersee zimmer",,64,90,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für",0,-,0,https://www.sonnenhof-herrsching.de/,-,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung ammersee herrsching",,-,320,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",0,5,0,https://www.sonnenhof-herrsching.de/,5,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung in herrsching",,78,40,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",0,4,0,https://www.sonnenhof-herrsching.de/,4,0,https://www.sonnenhof-herrsching.de/
"ferienwohnung sonnenhof",,72,170,,"Lokales Paket, Bewertungen, Bilder, Ergebnisse finden für",0,13,0,https://www.sonnenhof-herrsching.de/,13,0,https://www.sonnenhof-herrsching.de/
"fewo herrsching",,-,40,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",0,6,0,https://www.sonnenhof-herrsching.de/,5,1,https://www.sonnenhof-herrsching.de/
"hotel doppelzimmer",,-,10,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), Bilder, GBP",0,-,0,,-,0,
"hotel sonnenhof",,-,18100,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), Bilder, Hotel-Paket, Ergebnisse finden für",0,-,0,,-,0,
"pension ammersee günstig",,-,140,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",0,13,0,https://www.sonnenhof-herrsching.de/,15,-2,https://www.sonnenhof-herrsching.de/
"pension herrsching",,73,90,,"Bewertungen, Hotel-Paket, Ergebnisse finden für",0,3,0,https://www.sonnenhof-herrsching.de/,2,1,https://www.sonnenhof-herrsching.de/
"pension herrsching am ammersee",,72,140,,"Bewertungen, Ähnliche Fragen (People Also Ask), Hotel-Paket, Ergebnisse finden für",0,3,0,https://www.sonnenhof-herrsching.de/,2,1,https://www.sonnenhof-herrsching.de/
"pension sonnenhof",,-,20,,"Bewertungen, Video, Bilder, Hotel-Paket, Ergebnisse finden für",0,-,0,https://www.sonnenhof-herrsching.de/,-,0,https://www.sonnenhof-herrsching.de/
sonnenhof,,-,10800,,"Bewertungen, Video, Ähnliche Fragen (People Also Ask), Bilder, Karte",0,-,0,,-,0,
